Symbol	Description
LITT	Roadman Investments Corp
LIVE	Globalive Technology Inc
LKY	Lucky Minerals Inc
LL	Canada Rare Earth Corp
LLG	Mason Graphite Inc
LLO.P	LL One Inc
LM	Lingo Media Corp
LME	Laurion Mineral Exploration Inc
LMG	Lincoln Gold Mining Inc
LMR	Lomiko Metals Inc
LMS	Latin Metals Inc
LOG.P	Logica Ventures Corp
LOOP	Loopshare Ltd
LPC	Lorne Park Capital Partners Inc
LPK	Lupaka Gold Corp
LPS	Legend Power Systems Inc
LR	Luminex Resources Corp
LRA	Lara Exploration Ltd
LRT.DB.G	Lanesborough REIT 5.0 Pct Ser G Debs
LRT.UN	Lanesborough R.E. Investment Trust
LSD.H	Lightspeed Discoveries Inc
LSX	Lasalle Exploration Corp
LTE	Lite Access Technologies Inc
LTV	Leonovus Inc
LTX	Labrador Technologies Inc
LUKY	Luckystrike Resources Ltd
LUM	Lumina Gold Corp
LXE	Leucrotta Exploration Inc
LXG	Lexagene Holdings Inc
M	Mosaic Capital Corp
M.DB	Mosaic Capital Corp 7.0 Pct Debs
MAC	Themac Resources Group Limited
MAE	Maritime Resources Corp
MAH	Marksmen Energy Inc
MAI	Minera Alamos Inc
MAP	Maple Peak Investments Inc
MAS	Mas Gold Corp
MAZ.H	Mazarin Inc
MBI.H	Med Biogene Inc
MBO	Mobio Technologies Inc
MBR.H	Mbmi Resources Inc
MCA.H	Milner Consolidated Silver Mines Ltd
MCCN	Medcolcanna Organics Inc
MCG	Mountain China Resorts Holding Ltd
MCI	Minnova Corp
MCLD	Mcloud Technologies Corp.
MCLD.DB	Mcloud Technologies Corp 10 Pct Debs
MCM.A	Matachewan Cons Mines
MCR	Macro Enterprises Inc
MCS	Mcchip Resources Inc
MCU	Mega Copper Ltd
MCX	Mcorpcx Inc
MD	Midland Exploration Inc
MDL	Medallion Resources Ltd
MDP	Medexus Pharmaceuticals Inc
MDP.DB	Medexus Pharmaceuticals Inc 6.0 Pct Debs
MDV	Megastar Development Corp
MDX	Medx Health Corp
MED	Medgold Resources Corp
MEK	Metals Creek Resources Corp
MENE	Mene Inc
MENE.WT	Mene Inc WT
MET	Metalore Resources Limited
META	Meta Growth Corp.
META.WT	National Access Cannabis Corp Wts
MEX	Mexican Gold Mining Corp.
MEX.WT	Mexican Gold Corp Wts
MFM	Marifil Mines Ltd
MFS	Medifocus Inc
MFX	Minfocus Exploration Corp
MGC.H	Midasco Capital Corp
MGG	Minaurum Gold Inc
MGI	Magnum Goldcorp Inc
MGM	Maple Gold Mines Ltd
MGM.WT	Maple Gold Mines Ltd WT
MGR	Magna Gold Corp
MGZ.H	Mangazeya Mining Ltd
MILE	Last Mile Holdings Ltd.
MIMI	Mimis Rock Corp
MINE	Inomin Mines Inc
MIR	Medmira Inc
MIRA.P	Mira X Acquisition Corp
MJS	Majestic Gold Corp
MKA	Mkango Resources Ltd
MKO	Mako Mining Corp
MKR	Melkior Resources Inc
MKT	Deepmarkit Corp
ML	Millennial Lithium Corp
MMA	Midnight Sun Mining Corp
MMG	Metallic Minerals Corp
MMM	Minco Capital Corp
MMN	Monarca Minerals Inc
MMO.H	Mount Dakota Energy Corp
MMS	Macarthur Minerals Limited
MMV	Mineral Mountain Resources Ltd
MMY	Monument Mining Limited
MN	Manganese X Energy Corp
MNC	Magnetic North Acquisition Corp
MNO	Meridian Mining Societas Europaea
MNX	Manitex Capital Inc.
MON	Montero Mining and Exploration Ltd
MOON	Blue Moon Zinc Corp
MOS	Mobi724 Global Solutions Inc
MOX	Morien Resources Corp
MPH	Medicure Inc
MPT	Midpoint Holdings Ltd
MRL	Margaux Resources Ltd
MRO	Millrock Resources Inc
MRS	Mission Ready Solutions Inc
MRZ	Mirasol Resources Ltd
MSP	Minaean SP Construction Corp
MSR	Minsud Resources Corp
MT	M3 Metals Corp
MTA	Metalla Royalty & Streaming Ltd
MTB	Mountain Boy Minerals Ltd
MTC	Metalcorp Ltd
MTH	Mammoth Resources Corp
MTLO	Martello Technologies Group Inc
MTRX	Loop Insights Inc
MTS	Metallis Resources Inc
MTU	Manitou Gold Inc
MTX	Metalex Ventures Ltd
MUN	Mundoro Capital Inc
MUR	Murchison Minerals Ltd
MUST.H	Must Capital Inc
MVAI	Minerva Intelligence Inc
MVI.H	Monitor Ventures Inc
MVP	Mediavalet Inc
MVY	Moovly Media Inc
MWI.UN	Maplewood International REIT
MWX	Mineworx Technologies Ltd
MXL.H	Mx Gold Corp
MXR	Max Resource Corp
N	Namaste Technologies Inc.
N.WT.A	Namaste Technologies Inc WT A
NAM	New Age Metals Inc
NAN	North American Nickel Inc
NAP	Napier Ventures Inc
NAQ.P	Navigator Acquisition Corp
NAR	North Arrow Minerals Inc
NBR	Nubian Resources Ltd
NBVA	Nubeva Technologies Ltd
NBY	Niobay Metals Inc
NCI	Ntg Clarity Networks Inc
NCPL.P	9 Capital Corp
NCX	Northisle Copper and Gold Inc
NDR	New Dimension Resources Ltd
NDVA	Indiva Limited
NED	New Destiny Mining Corp
NEE	Northern Vertex Mining Corp
NEM	New Era Minerals Inc
NEV	Nevada Sunrise Gold Corp
NFD.A	Northfield Capital Corp Cl.A Rv
NGC	Northern Graphite Corp
NGE	Nevada Exploration Inc
NGEN	Nervgen Pharma Corp
NGEX	Ngex Minerals Ltd
NGH.H	Nexia Health Technologies Inc
NGY	Nexera Energy Inc.
NGZ	NRG Metals Inc
NHP	Mondias Natural Products Inc
NIM	Nicola Mining Inc
NIO	Niocan Inc
NIP	Nippon Dragon Resources Inc
NIS.P	Cann Is Capital Corp
NKL	Conic Metals Corp
NKW	Naikun Wind Energy Group Inc
NLC	NEO Lithium Corp
NLH	Nova Leap Health Corp
NLTA	Enlighta Inc
NMG.H	Noble Metal Group Incorporated
NMI	Namibia Critical Metals Inc
NNO	Nano One Materials Corp
NNX	Nickel North Exploration Corp
NOB	Noble Mineral Exploration Inc
NOC.H	Norseman Capital Ltd
NORA	Norra Metals Corp
NOT	Noront Resources Ltd
NOU	Nouveau Monde Graphite Inc
NPA	Alphinat Inc
NRG	Newrange Gold Corp
NRM	Noram Ventures Inc
NRN	Northern Shield Resources Inc
NRTH	48North Cannabis Corp
NRTH.WT	48North Cannabis Corp WT
NSCI	Nanalysis Scientific Corp
NSE	New Stratus Energy Inc
NSP	Naturally Splendid Enterprises Ltd
NSX	Nsgold Corp
NTE	Network Media Group Inc
NTS	Nanotech Security Corp
NTW	Northway Resources Corp
NU	Neutrisci International Inc
NUAG	New Pacific Metals Corp
NUG	Nulegacy Gold Coporation
NVH	Novoheart Holdings Inc
NVI	Novra Technologies Inc
NVO	Novo Resources Corp
NVT	Nortec Minerals Corp
NVV	Norvista Capital Corp
NVX	NV Gold Corp
NWE	New West Energy Services Inc
NWX	Newport Exloration Ltd
NXG	Nexgenrx Inc
NXN	Nxgold Ltd
NXO	Nexoptic Technology Corp
NXR.UN	Nexus Real Estate Investment Trust
NXS	Nexus Gold Corp
NZ	New Zealand Energy Corp
NZN	Nevada Zinc Corp
NZP	Chatham Rock Phosphate Limited
OCG	Outcrop Gold Corp
OCN	Oceanus Resources Corp
OCO	Oroco Resource Corp
OEC	Oracle Energy Corp
OEE	Memex Inc
OG	Organic Garage Ltd
OGO	Organto Foods Inc
OIC	Origin Gold Corporation
OIII	O3 Mining Inc
OLV	Olivut Resources Ltd
OM	Osisko Metals Incorporated
OML	Omni-Lite Industries Canada Inc
OMM	Omineca Mining and Metals Ltd
OMR.H	Ord Mountain Resources Corp
ONE	01 Communique Laboratory Inc
ONV.H	Oronova Energy Inc
OOO	Otis Gold Corp
OOR	Opus One Resources Inc
OPV	Optimum Ventures Ltd
OPW	Opawica Explorations Inc
ORC.A	Orca Exploration Group Inc. Cl A
ORC.B	Orca Exploration Group Inc Cl B
ORE	Orezone Gold Corp
ORE.WT	Orezone Gold Corporation Wts
ORG	Orca Gold Inc
ORM	Orford Mining Corporation
ORO	New Oroperu Resources Inc
ORS	Orestone Mining Corp
ORX	Orefinders Resources Inc
OS	Osprey Gold Development Ltd
OSI	Osino Resources Corp
OSS	Onesoft Solutions Inc
OSU	Orsu Metals Corp
OTSO	Otso Gold Corp.
OVT	Oculus Visiontech Inc
OYL	Cgx Energy Inc
PA	Palamina Corp
PAC	Pacton Gold Inc
PAL	Parallel Mining Corp
PAN	Pangolin Diamonds Corp
PANO.P	Panorama Capital Corp
PAS	Pascal Biosciences Inc
PAV.H	Pacific Arc Resources Ltd
PBM	Pacific Bay Minerals Ltd
PBR	Para Resources Inc
PBS	Pacgen Life Science Corp
PBX	Powerband Solutions Inc
PCL.P	Perihelion Capital Ltd
PCLO	Pharmacielo Ltd
PCO	Phoenix Canada Oil Co.Ltd.
PCQ	Petrolympic Ltd
PCR	Pinecrest Resources Ltd
PDH	Premier Diversified Holdings Inc
PDM	Palladium One Mining Inc
PE	Pure Energy Minerals Limited
PEA	Pieridae Energy Ltd
PEEK	Peeks Social Ltd
PEH	Primeline Energy Holdings Inc
PEI	Prospera Energy Inc
PEMC	Pacific Empire Minerals Corp
PEO	People Corp
PER	Peruvian Metals Corp
PERU	Chakana Copper Corp
PEX	Pacific Ridge Exploration Ltd
PEZM.H	Greenshield Explorations Limited
PFM	Prontoforms Corp
PGC	Plato Gold Corp
PGDC	Patagonia Gold Corp
PGE	Group Ten Metals Inc
PGM	Pure Gold Mining Inc
PGP	Power Group Projects Corp
PGV	Prodigy Ventures Inc
PGX	Prosper Gold Corp
PGZ	Pan Global Resources Inc
PHA	Premier Health of America Inc
PHD	Providence Gold Mines Inc
PHL.H	Planet Health Corp
PHT.P	Pinehurst Capital I Inc
PINH.P	Pinehurst Capital II Inc
PIPE	Pipestone Energy Corp
PIPE.WT	Pipestone Energy Corp WT
PJT	Partner Jet Corp
PJX	Pjx Resources Inc
PKS.P	Pks Capital Corp
PKT	Parkit Enterprise Inc
PLA	Plata Latina Minerals Corp
PLAN	Progressive Planet Solutions Inc
PLB.P	Plb Capital Corp
PLO.H	Paloma Resources Inc
PLU	Plateau Energy Metals Inc
PLX	Point Loma Resources Ltd
PLX.WT	Point Loma Resources Ltd WT
PLY	Playfair Mining Ltd
PML	Panoro Minerals Ltd
PMO.H	Prime City One Capital Corp
PMR	Prime Meridian Resources Corp
PMX	Proam Exploration Corp
PNG	Kraken Robotics Inc
POE	Pan Orient Energy Corp
POG	Perisson Petroleum Corp
POND	Pond Technologies Holdings Inc
POOL	Pool Safe Inc
POR	Portofino Resources Inc
PORE	Powerore Inc
PP	Pacific Silk Road Res Group Inc
PPE.H	Pacific Paradym Energy Inc
PPK	Prospect Park Capital Corp
PPM	Pacific Imperial Mines Inc
PPX	Ppx Mining Corp
PQE	Petroteq Energy Inc
PRB	Probe Metals Inc
PRE	Paleo Resources Inc
PRG	Precipitate Gold Corp
PRH	Pearl River Holdings Limited
PRO	Pershimex Resources Corp
PRS	Prism Resources Inc
PRYM	Prime Mining Corp
PSH	Petroshale Inc
PSL	Prospero Silver Corp
PST	Pistol Bay Mining Inc
PT.UN	Pine Trail Real Estate Investment Trust
PTE	Pioneering Technology Corp
PTF	Pender Growth Fund Inc
PTK	Poet Technologies Inc
PTP.H	Petrichor Energy Inc
PTQ	Protech Home Medical Corp
PTQ.DB.A	Protech Home Medicalcorp 8 Pct Debs
PTU	Purepoint Uranium Group Inc
PUC	Pancontinental Resources Corp
PUL	Pulse Oil Corp
PUMA	Puma Exploration Inc
PURE	Pure Global Cannabis Inc
PVF.PR.U	Partners Value Investments Series 1 Pref
PVF.UN	Partners Value Investments LP
PVF.WT	Partners Value Investments WT
PWM	Power Metals Corp
PX	Pelangio Exploration Inc
PXI	Planet Ventures Inc
PYR	Pyrogenesis Canada Inc
QBC.P	Quantum Blockchain Technologies Ltd
QGR	Q Gold Resources Ltd
QIS	Quorum Information Technologies Inc
QIT	Quinto Resources Inc
QMC	Qmc Quantum Minerals Corp
QMX	Qmx Gold Corp
QNC	Quantum Numbers Corp
QPT	Quest Pharmatech Inc
QRC	Queens Road Capital Investment Ltd
QRO	Quadro Resources Inc
QST	Questor Technology Inc
QTA	Quaterra Resources Inc
QUIS	Quisitive Technology Solutions Inc
QX	Qx Metals Corp
QYOU	Qyou Media Inc
QZM	Quartz Mountain Resources Ltd
RAK	Rackla Metals Inc
RBX	Robex Resources Inc
RCK	Rock Tech Lithium Inc
RCT	Rochester Resources Ltd
RDS	Radisson Mining Resources Inc
RDU	Radius Gold Inc
RE	Re Royalties Ltd
REBL.P	Genesis Acquisition Corp
RECO	Reconnaissance Energy Africa Ltd
REG	Regulus Resources Inc
REKO	Reko International Group Inc
REN	Renaissance Gold Inc
RENT.P	Shine Box Capital Corp
REVO	Revolugroup Canada Inc.
REX	Orex Minerals Inc
RFC	Rifco Inc
RG	Romios Gold Resources Inc
RGC	Redstar Gold Corp
RGD	Reunion Gold Corp
RGI	Reco International Group Inc
RGM.H	Remington Resources Inc
RHC	Royal Helium Ltd.
RHT	Reliq Health Technologies Inc
RIO	Rio2 Limited
RJX.A	Rjk Explorations Ltd Cl.A Sv
RK	Rockhaven Resources Ltd
RKR	Rokmaster Resources Corp
RLP	Realia Properties Inc.
RLP.DB.A	Realia Properties Inc 9.5 Pct Debs
RLV	Relevium Technologies Inc
RLY	Riley Resources Corp
RM	Routemaster Capital Inc
RMD	Richmond Minerals Inc
RMI	Ridgestone Mining Inc
RMK	Red Moon Resources Inc
RML	Rusoro Mining Ltd
RMO	Rainy Mountain Royalty Corp
RNP	Royalty North Partners Ltd
RNP.WT	Royalty North Partners Ltd WT
ROC.H	Red Oak Mining Corp
ROCK	Rockridge Resources Ltd
ROE	Renaissance Oil Corp
ROE.WT.A	Renaissance Oil Corp WT A
ROE.WT.B	Renaissance Oil Corp WT B
ROI	Route1 Inc
ROK	Rok Resources Inc.
ROS	Roscan Gold Corporation
ROX	Canstar Resources Inc
ROYL	Royal Gold Mining Inc
ROZ.P	Rozdil Capital Corporation
RP	Replicel Life Sciences Inc
RPC	Raise Production Inc
RPP	Regent Pacific Properties Inc
RPX	Red Pine Exploration Inc
RRD.H	Richmond Road Capital Corp
RRI	Riverside Resources Inc
RRR.UN	R and R Real Estate Investment Trust
RRS	Rogue Resources Inc
RSS	Resaas Services Inc
RSV	Resolve Ventures Inc
RSY.H	Rsi International Systems Inc
RTH	Rathdowney Resources Ltd
RTI	Radient Technologies Inc
RTM	Rt Minerals Corp
RTN	Return Energy Inc
RUG	Rugby Mining Limited
RUM	Rocky Mountain Liquor Inc
RUN.H	Running Fox Resource Corp
RUP	Rupert Resources Ltd
RVG	Revival Gold Inc
RVL	Revelo Resources Corp
RW	Renoworks Software Inc
RX	Biosyent Inc
RYE	Rhyolite Resources Ltd
RYO	Rio Silver Inc
RYR	Royal Road Minerals Limited
RYU	Ryu Apparel Inc
RZE	Razor Energy Corp
RZZ	Abitibi Royalties Inc
SA	Southern Arc Minerals Inc
SAE	Sable Resources Ltd
SAH	Sahara Energy Ltd
SAI.H	Sunshine Agri Tech Inc
SAIS	Sais Ltd
SAT	Asian Television Network Int Ltd
SAY	Sparta Capital Ltd
SB	Stratabound Minerals Corp
SBEL.P	Sanibel Ventures Corp
SBM	Sirona Biochem Corp
SBS.H	Sebastiani Ventures Corp
SBW	Strongbow Exploration Inc
SC.H	Serrano Resources Ltd
SCD	Samoth Oilfield Inc
SCLT	Searchlight Resources Inc
SCOT	Scottie Resources Corp
SCPO.UN	Starlight US Multi Family 1 Core Plus Fd
SCR	Score Media and Gaming Inc
SCT	Skychain Technologies Inc
SCZ	Santacruz Silver Mining Ltd
SDC	Solidusgold Inc
SDI	Stampede Drilling Inc
SDR	Stroud Resources Ltd
SEB	Smart Employee Benefits Inc
SEI	Sintana Energy Inc
SFI	Solution Financial Inc
SFR	Sandfire Resources America Inc
SFT	Softrock Minerals Ltd
SFX	Sphinx Resources Ltd
SGC	Solstice Gold Corp
SGI	Superior Gold Inc
SGMA	Sigma Lithium Resources Corp
SGN	Scorpio Gold Corp
SGU	Signature Resources Ltd
SGZ	Sego Resources Inc
SHL	Spruce Ridge Resources Ltd
SHM	Synstream Energycorp
SIC	Sokoman Minerals Corp
SIE	Sienna Resources Inc
SIM	Siyata Mobile Inc
SIR	Serengeti Resources Inc
SJR.A	Shaw Communications Inc
SKE	Skeena Resources Limited
SKP	Strikepoint Gold Inc
SKRR	Skrr Exploration Inc
SKYG	Sky Gold Corp
SLL	Standard Lithium Ltd
SMD	Strategic Metals Ltd
SME	Sama Resources Inc Ressources Sama Inc
SML	Southstone Minerals Ltd.
SMM	Silver Mountain Mines Inc
SMN	San Marco Resources Inc
SMO	Sonoro Metals Corp
SMR	Shine Minerals Corp
SMY	Search Minerals Inc
SNF	Sunora Foods Inc
SNG	Silver Range Resources Ltd
SNI.PR.A	Sonor Investments Limited
SNM	Shamaran Petroleum Corp
SNS	Select Sands Corp
SNV	Sonoro Energy Ltd
SOC	Sonora Gold & Silver Corp
SOCK	Smooth Rock Ventures Corp
SOI	Sirios Resources Inc
SOIL	Saturn Oil and Gas Inc
SOLR	Solar Alliance Energy Inc
SOO.P	Spectre Capital Corp
SOU	Southern Energy Corp
SPA	Spanish Mountain Gold Ltd
SPD	Silver Predator Corp
SPDR	Spyder Cannabis Inc
SPI	Canadian Spirit Resources Inc
SPN	Snipp Interactive Inc
SPOT	Goldspot Discoveries Corp
SPP	Spot Coffee Canada Ltd
SPS.A	Sportscene Group Inc
SPX	Stellar Africagold Inc
SQD	Sqi Diagnostics Inc
SQG	Spackman Equities Group Inc
SR	Strategic Resources Inc
SRA	Stria Lithium Inc
SRC	Stakeholder Gold Corp
SRE	Saville Resources Inc
SRES	Sun Residential REIT
SRG	Srg Graphite Inc
SRI	Sparton Resources Inc
SRL	Salazar Resources Limited
SSA	Spectra Products Inc.
SSE	Silver Spruce Resources Inc
SSH.P	Seashore Resources Partners Corp
SSV	Southern Silver Exploration Corp
STA	Sanatana Resources Inc
STAR	Five Star Diamonds Limited
STC	Sangoma Technologies Corp
STE	Starr Peak Exploration Ltd
STH	Stelmine Canada Ltd
STMP	Stamper Oil & Gas Corp
STR.H	Santa Rosa Resources Corp
STS	South Star Mining Corp
STU	Stuhini Exploration Ltd
SUGR	Sugarbud Craft Growers Corp
SUGR.WT	Sugarbud Craft Growers Corp WT
SUI.H	Superior Mining International Corp
SUNM	Sun Metals Corp
SUP	Northern Superior Resources Inc
SUR	Surge Exploration Inc
SURG	Surge Copper Corp
SVA	Sernova Corp
SVE	Silver One Resources Inc
SVG	Silver Grail Resources Ltd
SVI	Storagevault Canada Inc
SVS	Solarvest Bioenergy Inc
SWA	Sarama Resources Ltd
SXE	Strata X Energy Ltd
SXL	Slam Exploration Inc
SYH	Skyharbour Resources Ltd
SYZ	Sylogist Ltd
SZM	Scozinc Mining Ltd
TAJ	Tajiri Resources Corp
TAL	Petrotal Corp
TBIX	Trustbix Inc
TBP	Tetra Bio Pharma Inc
TBP.WT	Tetra Bio Pharma Inc WT
TBP.WT.A	Tetra Bio Pharma Inc WT A
TBP.WT.B	Tetra Bio Pharma Inc Wts B
TBR	Timberline Resources Corp
TBRD	Thunderbird Entertainment Group Inc
TBX	Turmalina Metals Corp
TCA	Timia Capital Corp
TCAP.P	Tri Capital Opportunities Corp
TCC.DB	Trenchant Capital Corp 9.0 Pct Debs
TCC.DB.A	Trenchant Capital Corp 8.0 Pct Debs
TCI	Target Capital Inc
TEA.H	Tearlach Resources Limited
TECT	Tectonic Metals Inc
TELO	Telo Genomics Corp
TEM	Tembo Gold Corp
TES	Tesoro Minerals Corp
TEST	Flurotech Ltd
TETH	Tethyan Resources Plc
TG	Trifecta Gold Ltd
TGH	Tornado Global Hydrovacs Ltd
TGR	Tiger International Resources
TGX	True North GEMS Inc
THP	Totally Hip Technologies Inc
THRM	Therma Bright Inc
THX	Thor Explorations Ltd
TIC	Titanium Corporation Inc
TIG	Triumph Gold Corp
TII	Terra Firma Capital Corp
TIL	Till Capital Corp.
TIN.H	Eurotin Inc
TIP.H	Tyner Resources Ltd
TK	Tinka Resources Ltd
TKU	Tarku Resources Ltd
TKX	Trackx Holdings Inc
TLA	Titan Logix Corp
TLK	Frankly Inc
TLL.H	Tilting Capital Corp
TLT	Theralase Technologies Inc
TLT.WT	Theralase Technologies Inc WT
TM	Trigon Metals Inc
TMG	Thermal Energy International Inc
TMS.H	Targeted Microwave Solutions Inc
TNA	Evergreen Gaming Corp
TNO.H	Terreno Resources Corp
TNR	Tnr Gold Corp
TOE	Tri Origin Exploration Ltd
TOM	Amilot Capital Inc
TORQ	Torq Resources Inc
TORR	Torrent Capital Ltd
TPC	Tenth Avenue Petroleum Corp
TPL.H	Tethys Petroleum Ltd
TR	Troubadour Resources Inc
TRA	Teras Resources Inc
TRAD	Voleo Trading Systems Inc
TRC	Tisdale Resources Corp
TRCE	Terrace Global Inc
TRO	Taranis Resources Inc
TRS	Tres-Or Resources Ltd
TRU.H	Trius Investments Inc
TSD	Tsodilo Resources Ltd
TSG	Tristar Gold Inc
TSI	Trench Solutions Inc
TSN	Telson Mining Corp
TTD	Tinkerine Studios Ltd
TTR	Titanium Transportation Group Inc
TTS	Tintina Mines Ltd
TTZ	Total Telcom Inc
TUD	Tudor Gold Corp
TUF	Honey Badger Exploration Inc
TUO	Teuton Resources Corp
TVI	Tvi Pacific Inc
TW.P	Tailwind Capital Corporation
TWR	Tower Resources Ltd
TWY	Twyford Ventures Inc
TYMB	Tymbal Resources Ltd.
TYP	Typhoon Exploration Inc
TZR	Terrace Energy Corp
TZR.DB	Terrace Energy Corp Debs
UCU	Ucore Rare Metals Inc
UFC	Urbanfund Corp
UGD	Unigold Inc
UGE	Uge International Ltd
UGM	Urbangold Minerals Inc
UHO	United Hunter Oil and Gas Corp
UI	Urbanimmersive Inc
ULT	Ultra Resources Inc.
UNO.H	Northern Uranium Corp
UNV	Universal Copper Ltd.
URC	Uranium Royalty Corp
URC.WT	Uranium Royalty Corp Wts
USHA	Usha Resources Ltd
USS	Uniserve Communications Corp
UVN	Uravan Minerals Inc.
UWE.H	U3O8 Corp
VAN	Vangold Mining Corp
VAU	Viva Gold Corp
VAX	Vantex Resources Ltd
VCI	Vitreous Glass Inc
VCO.P	Vincero Capital Corp
VCOM	Vivere Communities Inc
VDO.H	Nevado Resources Corporation
VEC	Vanadian Energy Corp
VEIN	Pasofino Gold Ltd.
VENZ	Venzee Technologies Inc
VERT	Vertical Explorations Inc
VG	Volcanic Gold Mines Inc
VGD	Visible Gold Mines Inc
VGL	Vigil Health Solutions Inc
VGLD	Vangold Mining Corp
VGN	Greencastle Res Ltd
VHI	Vitalhub Corp
VIO	Societe D Exploration Miniere Vior Inc
VIPR	Silver Viper Minerals Corp
VIS	Visionstate Corp
VIV	Avivagen Inc
VLC	Velocity Minerals Ltd
VLI	Vision Lithium Inc
VLNS	Valens Groworks Corp
VLNS.WT	Valens Groworks Corp Wts
VLV	Venerable Ventures Ltd
VM	Voyageur Pharmaceuticals Ltd
VML	Viscount Mining Corp
VMX	Victory Metals Inc
VMY.H	Voice Mobility International Inc
VO	Valore Metals Corp
VOLT	Volt Energy Corp
VONE	Vanadium One Iron Corp
VOTI	Voti Detection Inc
VPI	Vitality Products Inc
VQA	Valterra Resource Corp
VQS	Viq Solutions Inc
VRB	Vanadiumcorp Resource Inc
VRR	Vr Resources Ltd
VRY	Petro Victory Energy Corp
VSR	Vanstar Mining Resources Inc
VTI	Valdor Technology International Inc
VTT	Vendetta Mining Corp
VTX	Vertex Resource Group Ltd
VUI	Virginia Energy Resources Inc
VUL	Vulcan Minerals Inc
VUX	Vital Energy Inc
VVC	Vvc Exploration Corp
VXL	Vaxil Bio Ltd
VYC.H	Vanity Capital Inc
VZLA	Vizsla Resources Corp
VZZ	Val-D'Or Mining Corp
WA	Western Atlas Resources Inc
WAR	Warrior Gold Inc
WATR	Current Water Technologies Inc
WAVE	Waverley Pharma Inc
WBE	Westbond Enterprises Corp
WCC	Consolidated Woodjam Copper Corp
WCE	Wescan Energy Corp
WEB.H	Westbridge Energy Corporation
WED	The Westaim Corp
WEE	Wavefront Technology Solutions Inc
WEII	Wolverine Energy and Infrastructure Inc
WFG.H	Waterfront Capital Corporation
WGF	Wescan Goldfields Inc
WGO	White Gold Corp
WHM	White Metal Resources Corp
WHN	Westhaven Ventures Inc
WHY	West High Yield Resources Ltd
WI	The Western Investment CO of Cda Ltd
WIL	Wilton Resources Inc
WIN	Windfall Geotek Inc
WINS	Winshear Gold Corp.
WKG	Westkam Gold Corp
WKM	West Kirkland Mining Inc
WL	Westleaf Inc
WLF	Wolfden Resources Corp
WMD	Weedmd Inc
WMD.DB	Weedmd Inc 8.5 Pct Debs
WMD.WT	Weedmd Inc WT
WMG	Western Magnesium Corporation
WMK	Whitemud Resources Inc
WML	Wealth Minerals Ltd
WMR	Westminster Resources Ltd
WNST.P	Winston Capital Group Inc
WOLF.P	Wolf Acquisition Corp
WOW	Wow Unlimited Media Inc
WR.H	Worldwide Resources Corp
WRI	Waseco Resources Inc
WRR	Walker River Resources Corp
WSK	Wildsky Resources Inc
WSK.H	Wildsky Resources Inc
WT.H	Wangton Capital Corp.
WTER	The Alkaline Water CO Inc
WTR	Westcore Energy Ltd
WWT	Water Ways Technologies Inc
XAG	Xtierra Inc
XBC	Xebec Adsorption Inc
XBC.WT	Xebec Adsorption Inc WT
XCAP.P	Exelerate Capital Corp
XIA	Xiana Mining Inc
XIB.P	Xib I Capital Corp
XIM	Ximen Mining Corp
XL	Xxl Energy Corp
XLY	Auxly Cannabis Group Inc
XLY.WT	Auxly Cannabis Group Inc WT
XRAY	Apteryx Imaging Inc
XTM	Transition Metals Corp
XTT	X Terra Resources Inc
XX	Avante Logixx Inc
YAK	Mongolia Growth Group Ltd
YDX	Ydx Innovation Corp
YES	Char Technologies Ltd
YFI	Edgewater Wireless Systems Inc
YGT	Gold Terra Resource Corp.
YNV	Ynvisible Interactive Inc
YOO	Yangaroo Inc
YSS	Yss Corp
YTY	Wi2Wi Corp
YVI	Yorkton Ventures Inc
Z	Zinc One Resources Inc
ZAD	Zadar Ventures Ltd
ZC	Zimtu Capital Corp
ZCC.H	Zena Mining Corp
ZDC	Zedcor Energy Inc
ZEE	Zenith Energy Ltd
ZEN	Zen Graphene Solutions Ltd.
ZENI.P	Zenith Capital Corporation
ZFR	Zephyr Minerals Ltd
ZMA	Zoomaway Travel Inc
ZNG	Group Eleven Resources Corp
ZNX	Zincx Resources Corp
ZOMD	Zoomd Technologies Ltd
ZON	Zonte Metals Inc
ZONE	Zonetail Inc
ZUM	Zoomermedia Limited
